course,prerequisite,group
AMATH 301,,core
AMATH 351,,core
AMATH 352,,core
AMATH 353,AMATH 351,core
AMATH 481,AMATH 301,ds1
AMATH 481,AMATH 351,ds1
AMATH 481,AMATH 352,ds1
AMATH 482,AMATH 301,ds2
AMATH 482,AMATH 352,ds2
AMATH 483,AMATH 481,ds3
AMATH 483,AMATH 352,ds3
CFRM 405,AMATH 352,ds3
CFRM 410,CFRM 405,ds3
CFRM 420,CFRM 405,ds3
CFRM 420,CFRM 410,ds3
CFRM 421,CFRM 405,ds4
CFRM 421,CFRM 410,ds4
SOC 225,,ds5

